pt_code,term_ja,reading_kana,reading_alt
10017901,エンテロウイルス性胃腸炎,エンテロウイルスセイイチョウエン,
10017902,好酸球性胃腸炎,コウサンキュウセイイチョウエン,
10017903,大腸菌性胃腸炎,ダイチョウキンセイイチョウエン,
10017908,パラ大腸菌性胃腸炎,パラダイチョウキンセイイチョウエン,
10017910,プロテウス菌性胃腸炎,プロテウスキンセイイチョウエン,
10017911,シュードモナス性胃腸炎,シュードモナスセイイチョウエン,
10017912,放射線胃腸炎,ホウシャセンイチョウエン,
10017913,ロタウイルス胃腸炎,ロタウイルスイチョウエン,
10017914,サルモネラ菌性胃腸炎,サルモネラキンセイイチョウエン,
10017915,赤痢菌性胃腸炎,セキリキンセイイチョウエン,
10017916,ブドウ球菌性胃腸炎,ブドウキュウキンセイイチョウエン,
10017917,ビブリオ性胃腸炎,ビブリオセイイチョウエン,
10017918,ウイルス性胃腸炎,ウイルスセイイチョウエン,
10017920,エルシニア菌性胃腸炎,エルシニアキンセイイチョウエン,
10017928,胃腸管血管異形成,イチョウカンケッカンイケイセイ,
10017931,胃腸炭疽,イチョウタンソ,
10017932,胃腸管動静脈奇形,イチョウカンドウジョウミャクキケイ,
10017938,消化器カンジダ症,ショウカキカンジダショウ,
10017940,消化器癌,ショウカキガン,
10017944,胃腸障害,イチョウショウガイ,
10017954,消化管壊疽,ショウカカンエソ,
10017955,胃腸出血,イチョウシュッケツ,
10017964,消化管感染,ショウカカンカンセン,
10017973,胃腸リンパ腫,イチョウリンパシュ,
10017979,消化管粘膜嚢胞,ショウカカンネンマクノウホウ,
10017980,消化管粘膜壊死,ショウカカンネンマクエシ,
10017982,消化管壊死,ショウカカンエシ,
10017999,消化器痛,ショウカキツウ,
10018001,消化管穿孔,ショウカカンセンコウ,
10018007,胃腸管狭窄,イチョウカンキョウサク,
10018019,消化管粘膜変色,ショウカカンネンマクヘンショク,
10018044,術後胃不全麻痺,ジュツゴイフゼンマヒ,
10018045,胃下垂,イカスイ,
10018046,腹壁破裂,フクヘキハレツ,
10018048,ゴーシェ病,ゴーシェビョウ,
10018060,全身麻酔,ゼンシンマスイ,
10018075,全般性不安障害,ゼンパンセイフアンショウガイ,
10018092,全身性浮腫,ゼンシンセイフシュ,
10018100,全身性強直性間代性発作,ゼンシンセイキョウチョクセイカンダイセイホッサ,ゼンシンセイキョウチョクセイカンタイセイホッサ
10018138,遺伝相談,イデンソウダン,
10018139,膝神経節炎,シツシンケイセツエン,ヒザシンケイセツエン
10018143,性器カンジダ症,セイキカンジダショウ,
10018150,陰部ヘルペス,インブヘルペス,
10018158,性器白斑症,セイキハクハンショウ,
10018160,女性生殖器の悪性新生物,ジョセイセイショクキノアクセイシンセイブツ,
10018168,性器脱,セイキダツ,
10018175,性器発疹,セイキホッシン,セイキハッシン
10018180,性器潰瘍形成,セイキカイヨウケイセイ,
10018183,性判別不能外性器,セイハンベツフノウガイセイキ,
10018185,泌尿生殖器クラミジア感染,ヒニョウセイショクキクラミジアカンセン,
10018209,妊娠糖尿病,ニンシントウニョウビョウ,
10018250,巨細胞性動脈炎,キョサイボウセイドウミャクエン,
10018251,巨細胞歯肉腫,キョサイボウシニクシュ,
10018255,腱鞘巨細胞腫,ケンショウキョサイボウシュ,
10018258,巨大乳頭結膜炎,キョダイニュウトウケツマクエン,
10018262,ジアルジア症,ジアルジアショウ,
10018265,巨人症,キョジンショウ,
10018267,ジルベール症候群,ジルベールショウコウグン,
10018275,歯肉萎縮,シニクイシュク,
10018276,歯肉出血,シニクシュッケツ,
10018278,歯肉変色,シニクヘンショク,
10018280,歯肉障害,シニクショウガイ,
10018282,歯肉びらん,シニクビラン,
10018284,歯肉肥厚,シニクヒコウ,
10018285,歯肉形成不全,シニクケイセイフゼン,
10018286,歯肉痛,シニクツウ,
10018288,歯肉ポリープ,シニクポリープ,
10018290,歯肉退縮,シニクタイシュク,
10018291,歯肉腫脹,シニクシュチョウ,
10018292,歯肉炎,シニクエン,
10018296,潰瘍性歯肉炎,カイヨウセイシニクエン,
10018303,グランツマン病,グランツマンビョウ,
10018304,緑内障,リョクナイショウ,
10018330,外傷性緑内障,ガイショウセイリョクナイショウ,
10018333,緑内障性毛様体炎発症,リョクナイショウセイモウヨウタイエンハッショウ,
10018336,神経膠芽細胞腫,シンケイコウガサイボウシュ,
10018337,多形性神経膠芽細胞腫,タケイセイシンケイコウガサイボウシュ,
10018338,神経膠腫,シンケイコウシュ,
10018340,神経膠肉腫,シンケイコウニクシュ,
10018341,グリオーシス,グリオーシス,
10018342,グロブリン,グロブリン,
10018350,グロブリン増加,グロブリンゾウカ,
10018352,グロブリン尿,グロブリンニョウ,
10018355,糸球体濾過率,シキュウタイロカリツ,
10018356,糸球体濾過率異常,シキュウタイロカリツイジョウ,
10018358,糸球体濾過率減少,シキュウタイロカリツゲンショウ,
10018359,糸球体濾過率増加,シキュウタイロカリツゾウカ,
